idx,pfx,val
398,870,983
5987,870,982
11571,870,968
17166,870,982
22755,870,985
4344,871,961
9928,871,974
15523,871,984
21112,871,971
2696,872,971
8291,872,983
13880,872,978
19464,872,969
1059,873,982
6648,873,982
12237,873,963
17821,873,978
23416,873,987
5005,874,979
10589,874,976
16184,874,983
21773,874,988
3362,875,971
8946,875,984
14541,875,988
20130,875,988
1719,876,969
7303,876,979
12898,876,990
18487,876,988
76,877,971
5660,877,987
11255,877,991
16844,877,994
22433,877,982
4017,878,990
9612,878,994
15201,878,1002
20790,878,993
2374,879,996
7963,879,1002
13558,879,1012
19147,879,1003
731,880,1002
6320,880,1016
11915,880,1024
17504,880,1024
23093,880,1006
4677,881,1023
10272,881,1036
15861,881,1042
21450,881,1035
3034,882,1035
8623,882,1049
14218,882,1057
19807,882,1060
1396,883,1051
6980,883,1067
12569,883,1076
18164,883,1090
23753,883,1086
5337,884,1086
10926,884,1099
16521,884,1112
22110,884,1118
3699,885,1112
9283,885,1109
14872,885,1124
20467,885,1133
2056,886,1136
7645,886,1123
13229,886,1126
18818,886,1138
413,887,1145
6002,887,1141
11591,887,1128
17175,887,1130
22764,887,1140
4359,888,1145
9948,888,1142
15537,888,1125
21121,888,1122
2710,889,1130
8305,889,1132
13894,889,1124
19483,889,1108
1067,890,1107
6656,890,1110
12251,890,1114
17840,890,1108
23429,890,1090
5013,891,1096
10608,891,1099
16197,891,1105
21786,891,1096
3370,892,1075
8959,892,1091
14554,892,1098
20143,892,1105
1732,893,1094
7316,893,1088
12911,893,1097
18500,893,1110
89,894,1111
5678,894,1093
11262,894,1102
16857,894,1120
22446,894,1127
4035,895,1114
9619,895,1111
15214,895,1130
20803,895,1144
2392,896,1136
7976,896,1120
13571,896,1146
19160,896,1162
749,897,1165
6338,897,1147
11928,897,1166
17517,897,1193
23106,897,1200
4695,898,1187
10279,898,1195
15874,898,1221
21463,898,1236
3052,899,1232
8636,899,1221
14225,899,1247
19820,899,1265
1409,900,1268
6998,900,1248
12582,900,1274
18177,900,1293
23766,900,1300
5355,901,1288
10939,901,1298
16534,901,1322
22123,901,1325
3712,902,1314
9296,902,1317
14885,902,1340
20480,902,1341
2069,903,1333
7653,903,1330
13242,903,1350
18831,903,1347
426,904,1338
6010,904,1334
11599,904,1353
17188,904,1358
22783,904,1334
4367,905,1340
9956,905,1356
15545,905,1347
21140,905,1324
2724,906,1340
8313,906,1351
13908,906,1332
19486,906,1321
1081,907,1339
6670,907,1342
12265,907,1313
17849,907,1315
23438,907,1330
5027,908,1318
10611,908,1295
16206,908,1309
21795,908,1313
3384,909,1284
8968,909,1272
14563,909,1292
20152,909,1285
1747,910,1260
7331,910,1244
12920,910,1261
18509,910,1254
98,911,1231
5682,911,1203
11277,911,1219
16866,911,1222
22455,911,1208
4050,912,1186
9628,912,1167
15223,912,1181
20812,912,1184
2401,913,1177
7990,913,1163
13585,913,1144
19169,913,1140
758,914,1153
6347,914,1162
11936,914,1162
17525,914,1156
23120,914,1159
4709,915,1153
10293,915,1163
15882,915,1183
21471,915,1207
3060,916,1221
8655,916,1237
14244,916,1254
19833,916,1262
1417,917,1262
7006,917,1299
12595,917,1318
18190,917,1341
23779,917,1342
5368,918,1346
10952,918,1328
16541,918,1353
22130,918,1366
3725,919,1374
9314,919,1360
14903,919,1341
20487,919,1340
2076,920,1352
7671,920,1345
13260,920,1326
18849,920,1306
433,921,1293
6022,921,1305
11611,921,1302
17200,921,1289
22795,921,1266
4379,922,1250
9968,922,1267
15557,922,1267
21146,922,1263
2741,923,1245
8319,923,1231
13914,923,1256
19503,923,1260
1092,924,1253
6687,924,1242
12271,924,1231
17860,924,1254
23449,924,1257
5044,925,1245
10633,925,1232
16217,925,1245
21806,925,1258
3395,926,1245
8990,926,1243
14574,926,1240
20163,926,1258
1752,927,1255
7347,927,1249
12931,927,1240
18520,927,1258
115,928,1257
5704,928,1246
11288,928,1245
16877,928,1262
22472,928,1257
4061,929,1242
9645,929,1253
15234,929,1259
20829,929,1257
2418,930,1234
8002,930,1257
13591,930,1258
19186,930,1254
770,931,1243
6359,931,1263
11954,931,1261
17543,931,1246
23127,931,1258
4716,932,1270
10311,932,1266
15900,932,1242
21484,932,1274
3073,933,1279
8668,933,1272
14252,933,1260
19841,933,1290
1430,934,1292
7025,934,1277
12609,934,1282
18198,934,1305
23787,934,1303
5382,935,1283
10960,935,1294
16555,935,1318
22144,935,1313
3739,936,1299
9317,936,1305
14912,936,1323
20501,936,1327
2096,937,1307
7674,937,1315
13269,937,1330
18858,937,1337
453,938,1320
6031,938,1335
11626,938,1342
17215,938,1350
22804,938,1337
4388,939,1345
9983,939,1357
15572,939,1374
21161,939,1355
2745,940,1355
8340,940,1367
13929,940,1381
19518,940,1368
1102,941,1363
6697,941,1379
12286,941,1393
17875,941,1382
23459,941,1372
5054,942,1387
10643,942,1407
16232,942,1394
21816,942,1389
3411,943,1413
9000,943,1419
14589,943,1408
20173,943,1404
1768,944,1424
7357,944,1432
12952,944,1413
18530,944,1419
125,945,1438
5714,945,1438
11309,945,1417
16887,945,1428
22482,945,1439
4071,946,1432
9666,946,1409
15244,946,1424
20839,946,1438
2428,947,1427
8012,947,1405
13601,947,1418
19196,947,1432
785,948,1418
6369,948,1402
11964,948,1415
17553,948,1426
23142,948,1411
4726,949,1398
10321,949,1409
15910,949,1420
21499,949,1402
3083,950,1388
8678,950,1400
14267,950,1408
19856,950,1392
1440,951,1376
7029,951,1385
12624,951,1394
18213,951,1384
23797,951,1359
5386,952,1378
10981,952,1387
16570,952,1382
22165,952,1358
3743,953,1368
9338,953,1381
14927,953,1385
20522,953,1366
2100,954,1367
7695,954,1379
13284,954,1388
18873,954,1373
457,955,1365
6052,955,1383
11641,955,1400
17230,955,1389
22825,955,1367
4403,956,1385
9998,956,1403
